_id,smiles
05QDYA,CN(C)c1c(N(C)C)[c+]1N(C)C
05DIRJ,CN(C)c1c(-c2ccc3c(c2)Sc2ccc(-c4c(N(C)C)[c+]4N(C)C)cc2S3)[c+]1N(C)C
05RPNH,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1
05MXLE,CN(C)c1c(-c2ccc3c(c2)Sc2ccccc2S3)[c+]1N(C)C
05AWCY,c1ccc(N(c2ccccc2)c2ccc3c(c2)Sc2ccc(N(c4ccccc4)c4ccccc4)cc2S3)cc1
05OKDT,c1ccc(N(c2ccccc2)c2ccc3c(c2)Sc2ccccc2S3)cc1
05JZJR,CN(C)c1c(-c2ccc(-c3ccc(-c4c(N(C)C)[c+]4N(C)C)cc3)cc2)[c+]1N(C)C
05POEN,COc1ccc(N(c2ccc(-c3ccccc3)cc2)c2cccc(OC)c2)cc1
05CKZO,COc1ccc(N(c2ccc(OC)cc2)c2ccc3c(c2)Sc2ccccc2S3)cc1
05XJXO,c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1
05WOBI,CN(C)c1c(-c2ccc(-c3ccccc3)cc2)[c+]1N(C)C
05SMPN,COc1ccc(N(c2ccc(OC)cc2)c2ccc3c(c2)Sc2ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc2S3)cc1
05JNUA,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1
05MNXL,c1ccc2c(c1)Sc1ccccc1S2
05DUQU,c1ccc(N(c2ccccc2)c2ccccc2)cc1
05VEUX,COc1ccc(N(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
05XICU,O
05PNOK,CCN1c2c(C)cc(C(F)(F)F)cc2Sc2cc(C(F)(F)F)cc(C)c21
05PTMH,CCN1c2c(C)cccc2Sc2cccc(C)c21
05TRCY,CCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
05JHCB,CCN1c2ccc(OCCOCCOC)cc2Sc2cc(OCCOCCOC)ccc21
05UYEV,CCN1c2ccc(C(F)(F)C(F)(F)F)cc2Sc2cc(C(F)(F)C(F)(F)F)ccc21
